0.3748,0.4164
0.444207,0.079142
0.4685,0.029006
0.479744,0.013945
0.485852,0.0078035
0.489535,0.0048164
0.491925,0.003185
0.493564,0.0022172
0.494736,0.0016062
0.495603,0.0012011
0.496263,0.0009219
0.496776,0.0007231
0.497183,0.00057769
0.497512,0.00046886
0.497781,0.00038577
0.498004,0.00032124
0.498191,0.00027035
0.498349,0.00022967
0.498484,0.00019677
0.4986,0.00016987
0.498701,0.00014767
0.498788,0.00012917
0.498865,0.00011364
0.498933,0.00010051
0.498994,0.000089321
0.499048,0.000079736
0.499096,0.000071476
0.499139,0.000064319
0.499178,0.000058087
0.499213,0.000052635
0.499245,0.000047845
0.499274,0.000043619
0.499301,0.000039877
0.499325,0.000036551
0.499347,0.000033585
0.499368,0.000030931
0.499387,0.00002855
0.499405,0.000026407
0.499421,0.000024474
